chapterID,characterID,event,details,withID
79,1586,mentionned,,
79,1808,mentionned,,
80,154,mentionned,,
80,265,mentionned,,
80,287,mentionned,,
80,311,mentionned,,
80,456,mentionned,,
80,462,mentionned,,
80,629,mentionned,,
80,746,mentionned,,
80,852,mentionned,,
80,1018,mentionned,,
80,1396,mentionned,,
80,1420,mentionned,,
80,1431,mentionned,,
80,1584,mentionned,,
80,1648,mentionned,,
80,1727,mentionned,,
81,55,mentionned,,
81,161,mentionned,,
81,256,mentionned,,
81,295,mentionned,,
81,456,mentionned,,
81,586,mentionned,,
81,772,mentionned,,
81,776,mentionned,,
81,790,mentionned,,
81,831,mentionned,,
81,1303,mentionned,,
81,1434,mentionned,,
81,1716,mentionned,,
81,1727,mentionned,,
81,1757,mentionned,,
82,136,mentionned,,
82,295,mentionned,,
82,586,mentionned,,
82,1873,mentionned,,
83,385,mentionned,,
83,645,mentionned,,
83,754,mentionned,,
83,831,mentionned,,
83,1122,mentionned,,
83,1195,mentionned,,
83,1434,mentionned,,
83,1520,mentionned,,
83,1545,mentionned,,
83,1586,mentionned,,
83,1676,mentionned,,
84,8,mentionned,,
84,25,mentionned,,
84,138,mentionned,,
84,154,mentionned,,
84,456,mentionned,,
84,1431,mentionned,,
84,1648,mentionned,,
85,8,mentionned,,
85,352,mentionned,,
85,456,mentionned,,
85,826,mentionned,,
85,862,mentionned,,
85,1434,mentionned,,
85,1770,mentionned,,
86,136,mentionned,,
86,194,mentionned,,
86,300,mentionned,,
86,450,mentionned,,
86,458,mentionned,,
86,630,mentionned,,
86,793,mentionned,,
86,808,mentionned,,
86,851,mentionned,,
86,1045,mentionned,,
86,1335,mentionned,,
86,1434,mentionned,,
86,1527,mentionned,,
86,1808,mentionned,,
87,93,mentionned,,
87,136,mentionned,,
87,204,mentionned,,
87,586,mentionned,,
87,747,mentionned,,
87,831,mentionned,,
87,968,mentionned,,
87,1488,mentionned,,
87,1873,mentionned,,
88,295,mentionned,,
88,456,mentionned,,
88,831,mentionned,,
88,836,mentionned,,
88,1303,mentionned,,
88,1545,mentionned,,
