message	correspondent	direction	tweet	word1	word2	word3	time	subject	thread	length
t978	21	to	mention				1346722038		t1638	
t1056	21	to	mention				1346894044		t1664	
t510	21	from	mention				1346889978		t1664	
t1461	21	from	mention				1346894703		t1665	
t1376	21	to	mention				1347062958		t1674	
t1375	21	to	mention				1348360353		t1730	
t161	21	to	mention				1353370473		t2136	
t464	21	from	mention				1353370515		t2136	
t1652	21	from	mention				1353370814		t2136	
t13	21	to	mention				1356135236		t2359	
t383	21	from	mention				1356135656		t2359	
t907	21	to	mention				1329439225		t2397	
t1664	21	to	dm				1340067836		dm21	
t1539	22	to	mention				1331253093		t338	
t828	22	to	mention				1331254132		t342	
t837	22	to	mention				1336177345		t741	
t1048	22	to	mention				1336351604		t754	
t1262	22	to	mention				1336439137		t771	
t1651	22	to	mention				1337129044		t834	
t858	22	to	mention				1337127742		t837	
t163	22	from	mention				1343092807		t1491	
t489	22	from	mention				1343092957		t1493	
t1211	22	from	mention				1343179619		t1513	
t946	22	from	mention				1343176515		t1514	
t493	22	from	mention				1349400964		t1801	
t826	22	to	mention				1352336853		t2058	
t439	22	from	mention				1352336887		t2058	
t827	22	to	mention				1352336895		t2059	
t498	22	from	mention				1352336955		t2059	
t825	22	to	mention				1352854057		t2101	
t426	22	from	mention				1352855016		t2101	
t446	22	from	dm				1336090901		dm22	
t1706	22	to	dm				1336093271		dm22	
t960	22	to	dm				1336093312		dm22	
t973	23	to	mention				1328662946		t162	
t891	23	to	mention				1339809396		t1077	
t173	23	to	mention				1340067724		t1121	
t1093	23	from	dm				1330132525		dm23	
t1092	23	from	dm				1332202106		dm23	
t1303	23	to	dm				1332202417		dm23	
t1736	23	from	dm				1332202627		dm23	
t1353	23	from	dm				1332204614		dm23	
t1309	23	to	dm				1341015603		dm23	
t1416	28	to	mention				1325722406		t16	
t1498	28	to	mention				1330042319		t226	
t664	28	to	mention				1332895331		t467	
t1359	28	to	mention				1342054924		t1378	
t665	28	to	mention				1342311479		t1425	
t666	28	to	mention				1342314138		t1426	
t124	28	from	mention				1347413601		t1693	
t34	28	to	mention				1353977418		t2166	
t1457	28	from	mention				1354060871		t2169	
t1182	28	from	dm				1342314363		dm28	
t1243	29	to	mention				1341448619		t1276	
t1390	29	to	mention				1341534386		t1337	
t1389	29	to	mention				1341534498		t1338	
t1017	29	to	mention				1341536005		t1343	
t1388	29	to	mention				1341623834		t1350	
t187	29	to	mention				1341623864		t1351	
t179	29	to	mention				1342139156		t1396	
t180	29	to	mention				1342137881		t1401	
t182	29	to	mention				1342227708		t1410	
t1245	29	to	mention				1342227784		t1413	
t189	29	to	mention				1342832253		t1471	
t500	29	from	mention				1342834177		t1471	
t186	29	to	mention				1342830089		t1471	
t443	29	from	mention				1342830112		t1471	
t903	29	from	mention				1342833491		t1475	
t188	29	to	mention				1342834379		t1475	
t529	29	from	mention				1342830941		t1475	
t1567	29	from	mention				1342831233		t1475	
t1195	29	from	mention				1343093744		t1502	
t177	29	to	mention				1343093955		t1502	
t178	29	to	mention				1343093988		t1502	
t451	29	from	mention				1343088393		t1502	
t185	29	to	mention				1343088505		t1502	
t540	29	from	mention				1343088941		t1502	
t184	29	to	mention				1343089691		t1502	
t453	29	from	mention				1343178678		t1502	
t385	29	from	mention				1343174823		t1502	
t802	29	from	mention				1343175145		t1502	
t176	29	from	mention				1343176285		t1502	
t172	29	from	mention				1343956803		t1547	
t902	29	from	mention				1344043236		t1547	
t171	29	to	mention				1343956953		t1548	
t384	29	from	mention				1344043864		t1548	
t974	29	from	mention				1344643484		t1582	
t409	29	from	mention				1346114835		t1621	
t175	29	to	mention				1346115573		t1621	
t518	29	from	mention				1346112202		t1621	
t694	29	from	mention				1346977612		t1669	
t662	29	from	mention				1346978936		t1671	
t1334	29	from	mention				1347065339		t1675	
t1254	29	from	mention				1347065531		t1676	
t183	29	to	mention				1348966983		t1772	
t538	29	from	mention				1348968412		t1772	
t181	29	to	mention				1348964478		t1772	
t501	29	from	mention				1349400337		t1794	
t1256	29	to	dm				1341536253		dm29	
t1331	29	from	dm				1341619934		dm29	
t955	29	to	dm				1354584547		dm29	
t1018	29	from	dm				1354584921		dm29	
t1685	31	to	mention				1334367198		t586	
t887	31	to	mention				1334972276		t640	
t372	31	from	mention				1350263174		t1835	
t400	31	from	mention				1350263125		t1835	
t66	31	to	mention				1350263253		t1835	
t596	31	from	mention				1350523938		t1882	
t302	31	to	mention				1350524129		t1882	
t399	31	from	mention				1350521824		t1882	
t1630	31	to	mention				1350610559		t1926	
t473	31	from	mention				1350606727		t1926	
t1613	31	from	mention				1350604893		t1932	
t303	31	to	mention				1350693071		t1960	
t398	31	from	mention				1350693854		t1960	
t397	31	from	mention				1350693836		t1960	
t1050	31	to	mention				1350694331		t1970	
t479	31	from	mention				1350694575		t1970	
t314	32	to	mention				1330042635		t234	
t315	32	to	mention				1330217613		t240	
t316	32	to	mention				1330388531		t259	
t817	32	to	mention				1340412919		t1160	
t915	32	to	mention				1340413113		t1161	
t710	32	to	mention				1342229542		t1418	
t1633	32	to	mention				1350090044		t1826	
t1713	32	from	mention				1350090244		t1827	
t1277	32	from	mention				1350176909		t1828	
t28	32	to	mention				1350610567		t1952	
t972	33	to	mention				1332983651		t475	
t944	33	to	mention				1334624017		t609	
t40	33	to	mention				1334625618		t613	
t133	33	to	mention				1335141566		t655	
t41	33	to	mention				1337991367		t910	
t39	33	to	mention				1343262401		t1517	
t966	33	to	dm				1331944436		dm33	
t1549	34	to	mention				1333412328		t512	
t1472	34	to	mention				1333676047		t533	
t814	34	to	mention				1334967344		t644	
t1554	34	to	mention				1340760989		t1214	
t1533	34	to	mention				1341619953		t1346	
t1357	34	from	mention				1342311937		t1427	
t262	34	from	mention				1350610181		t1922	
t899	34	from	mention				1350695955		t1968	
t1033	34	from	mention				1355359192		t2285	
t1708	34	from	dm				1337906175		dm34	
t291	37	to	mention				1326501921		t80	
t169	37	to	mention				1326760515		t93	
t293	37	to	mention				1326934024		t102	
t292	37	to	mention				1326931942		t105	
t1423	37	to	mention				1329356302		t195	
t15	37	to	mention				1330390687		t255	
t288	37	to	mention				1331170788		t314	
t840	37	to	mention				1331856157		t390	
t301	37	to	mention				1333242753		t499	
t898	37	to	mention				1334365627		t592	
t1424	37	to	mention				1335402389		t682	
t290	37	to	mention				1337649198		t861	
t1387	37	to	mention				1337736074		t869	
t287	37	to	mention				1338340458		t931	
t300	37	to	mention				1338336434		t934	
t289	37	to	mention				1338426074		t957	
t65	37	to	mention				1338426314		t958	
t286	37	to	mention				1338770096		t976	
t1426	37	to	mention				1338857122		t977	
t298	37	to	mention				1339720338		t1059	
t294	37	to	mention				1339720447		t1060	
